dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-temp,2,35,5516,normal,hc,bic-g,6.159,0.029,NA,3750,NA,agua_amarga.temp_min_t,2.23,0.88,0.62,0.92,0.76,0.97
dacc-temp,2,35,5516,normal,hc,bic-g,6.159,0.029,NA,3750,NA,las_paredes.temp_min_t,2.82,0.83,0.64,0.91,0.81,0.97
dacc-temp,2,35,5516,normal,hc,bic-g,6.159,0.029,NA,3750,NA,la_llave.temp_min_t,3.03,0.84,0.68,0.89,0.8,0.95
dacc-temp,2,35,5516,smote,hc,bic-g,5.267,0.035,390,3315,1560,junin.temp_min_t,2.14,0.9,0.76,0.94,0.75,0.96
dacc,1,35,5517,smote,hc,aic-g,19.352,0.069,496,4216,1984,agua_amarga.temp_min_t,2.12,0.89,0.69,0.93,0.77,0.96
dacc-temp,2,35,5516,smote,hc,bic-g,22.842,0.094,1057,8984,4228,tunuyan.temp_min_t,2.75,0.86,0.81,0.9,0.85,0.93
dacc,1,35,5517,smote,hc,aic-g,23.246,0.07,567,4819,2268,las_paredes.temp_min_t,2.83,0.84,0.7,0.9,0.75,0.95
dacc-temp,2,35,5516,smote,hc,bic-g,8.026,0.035,496,4216,1984,agua_amarga.temp_min_t,2.19,0.89,0.8,0.93,0.73,0.95
dacc-temp,2,35,5516,smote,hc,bic-g,9.681,0.042,567,4819,2268,las_paredes.temp_min_t,2.93,0.83,0.75,0.9,0.73,0.94
dacc-temp,2,35,5516,smote,hc,bic-g,13.176,0.053,698,5933,2792,la_llave.temp_min_t,3.03,0.84,0.79,0.89,0.74,0.92
dacc,1,35,5517,smote,hc,aic-g,32.662,0.092,698,5933,2792,la_llave.temp_min_t,3.04,0.84,0.82,0.9,0.75,0.92
dacc-spring,1,34,1829,smote,hc,bge,73.44,0.023,242,2057,968,la_llave.temp_min_t,3.43,0.67,0.73,0.89,0.66,0.92
dacc-spring,1,34,1829,normal,tabu,bic-g,2.312,0.012,NA,1243,NA,junin.temp_min_t,2.46,0.77,0.47,0.94,0.62,0.98
dacc-spring,1,34,1829,normal,tabu,bic-g,2.312,0.012,NA,1243,NA,tunuyan.temp_min_t,3.24,0.67,0.56,0.85,0.82,0.96
dacc-spring,1,34,1829,normal,tabu,bic-g,2.312,0.012,NA,1243,NA,agua_amarga.temp_min_t,2.51,0.74,0.55,0.92,0.58,0.96
dacc-spring,1,34,1829,normal,tabu,bic-g,2.312,0.012,NA,1243,NA,las_paredes.temp_min_t,2.77,0.71,0.36,0.9,0.8,0.99
