"","date-max","X21.HumRel-max","X45.soilMoisture-max","X44.soilMoisture-max","X28.temp-max","X27.temp-max","X25.temp-max","X24.temp-max","X23.temp-max","X22.temp-max","X21.temp-max","X21.HumRel-mean","X45.soilMoisture-mean","X44.soilMoisture-mean","X28.temp-mean","X27.temp-mean","X25.temp-mean","X24.temp-mean","X23.temp-mean","X22.temp-mean","X21.temp-mean","X21.HumRel-min","X45.soilMoisture-min","X44.soilMoisture-min","X28.temp-min","X27.temp-min","X25.temp-min","X24.temp-min","X23.temp-min","X22.temp-min","X21.temp-min"
"51",2011-08-12,86,19.8,16.4,31.8,31.7,31.31,31.75,32.3,32.06,31.15,72.7751680684482,18.8275418833384,15.6540231811455,23.4723584689877,23.3977226819611,23.2568211038871,23.1419435361138,23.8605838210205,23.3012574947693,22.9434221351257,50,17.5,14.5,16.2,16,15.94,16,16.5,15.94,15.71
"52",2011-08-13,87,18.7,15.5,16.3,16,15.88,15.94,16.5,15.94,15.75,75.9479166666667,17.95,14.4614583333333,12.9708333333333,12.8395833333333,12.6930208333333,12.7983333333333,13.2177083333333,12.6999009099779,12.3786458333333,67,16.6,13.2,8.6,8.9,8.31,8.94,8.7,8.94,7.51
"53",2011-08-14,77,18.5,14,18.6,18.1,18.13,18.06,18.8,17.94,18.05,58.2217884191285,17.5114754382504,13.2143130491906,12.6226099257564,12.2282881558533,12.1045183987926,12.2165866419392,12.6523166912044,12.1274660348614,11.7410171185095,35,16.4,12.1,6.5,5.9,5.81,5.63,6.2,6.31,5.19
"54",2011-08-15,90,17.9,13,15.9,16,15.69,15.63,16.2,15.81,15.37,79.1697741784218,17.1630735249279,12.240206185567,14.0366484775644,13.8487524545955,13.6054917433476,13.6315240771635,14.2537904625019,13.6833090515134,13.3500745059203,67,16.5,11.3,11.9,11.5,11.44,11.5,12,11.44,11.08
"55",2011-08-16,92.0040979351386,25,24.4,15.8,15.6,15.63,15.63,16,15.38,15.14,90.5531681773344,22.0698083821948,19.8164279095613,14.4222952275642,14.1506257704626,14.0043794197614,14.0456167225861,14.5996585668404,14.0282103762663,13.7057303352549,87,16.6,11.5,12.1,11.7,11.56,11.44,12.2,11.63,11.32
"56",2011-08-17,91.0574153670248,23,22.2,16.2,15.9,15.94,15.44,16.8,15.5,15.61,86.6206004289344,21.5643436626046,21.3365458036539,11.8942897534737,11.6171188864232,11.3543211412354,11.4169623349021,11.9443392865515,11.400046401897,10.9997607549685,74,20.2,20.3,9.2,8.8,7.94,8.56,8.8,8.63,8.35
"57",2011-08-18,92,24,25.8,17.8,17.6,17.56,17.44,18.1,17.5,17.23,86.9170877192184,21.5952078559455,21.7377729339189,13.5050887474646,13.2210272823986,13.0886866595623,13.1134204734081,13.7161441749964,13.0813331927871,12.7157938801523,74,19.5,20.5,10.5,10.3,10.19,10.19,10.6,10.13,9.49
"58",2011-08-19,90,22.9,22.7,12.4,12.1,12.13,12.25,12.7,12.31,11.87,78.3024803876283,21.6381175470068,21.7729439828161,9.86471324326672,9.55801606064858,9.50948935506037,9.56048163169877,10.11762941368,9.54414141414141,9.11026251700623,60,20.3,20.4,6.1,5.5,5.13,4.94,6,5.63,5.29
"59",2011-08-20,90,21.5,21.4,13.4,14.2,13.38,13.81,14.4,12.75,12.5996553665756,68.5584673037491,20.3140878529985,20.544673167724,6.5391588760065,6.40054031403564,6.13186523787107,6.10020905380041,6.30566770763412,5.96973151067304,5.50028022649559,37,18.9,19.5,0.1,0.3,-0.25,-0.19,-0.4,-0.25,-0.92
"60",2011-08-21,91.2228787607062,20.3,20.2,11.4,12.7,11.63,11.63,13.2,10.88,11.18,73.1196518948577,19.5720796832825,19.5130717141913,4.94972719101616,4.69280774901869,4.57828372749905,4.35581646822299,4.44806265744296,3.90754155166179,3.72516521575083,49,18.3,18.7,-2.3,-2.2,-2.81,-2.44,-2.8,-2.87,-3.61
"61",2011-08-22,91,20,19.1,11.3,10.3,10.56,10.56,11.1,10.31,10.01,74.7765975117447,19.0409744114549,18.5363558957449,4.99958137940878,4.67671718900224,4.5776572063659,4.55036204063841,4.57378821545527,4.06656533867474,3.82933334853817,54,17.8,17.6,-2.8,-2.6,-2.94,-2.75,-3,-3.31,-3.71
