"","date","junin.temp_max","junin.humedad_max","junin.temp_med","junin.radiacion_med","junin.humedad_med","junin.temp_min","junin.humedad_min","tunuyan.temp_max","tunuyan.humedad_max","tunuyan.temp_med","tunuyan.radiacion_med","tunuyan.humedad_med","tunuyan.temp_min","tunuyan.humedad_min","agua_amarga.temp_max","agua_amarga.humedad_max","agua_amarga.temp_med","agua_amarga.radiacion_med","agua_amarga.humedad_med","agua_amarga.temp_min","agua_amarga.humedad_min","las_paredes.temp_max","las_paredes.humedad_max","las_paredes.temp_med","las_paredes.radiacion_med","las_paredes.humedad_med","las_paredes.temp_min","las_paredes.humedad_min","la_llave.temp_max","la_llave.humedad_max","la_llave.temp_med","la_llave.radiacion_med","la_llave.humedad_med","la_llave.temp_min","la_llave.humedad_min"
"2009-06-10",2009-06-10,16.55,97,8.1625,131.166666666667,53.875,1.36,24,16.96,83,4.82916666666667,1,50.0416666666667,-3.08,10,15.03,53,7.12083333333333,144.333333333333,35,1.49,18,15.3211237843024,53.052252670228,10.0894914510354,29.5748985647622,36.125736726062,2.12147266306236,28.5564393723083,15.52,58,8.9,1.12950584865123,36.5416666666667,-0.38,25
"2009-06-11",2009-06-11,16.53,82,5.675,131.541666666667,58.8333333333333,-0.79,30,15.75,81,2.46666666666667,1,53.875,-7.18,18,14.03,57,4.42916666666667,149.083333333333,42.3333333333333,-2.9,27,19.8917435944574,52.7689331004074,6.79818713001463,-100.549196904056,34.6087128913465,-3.57304603648472,14.7148162363283,18.36,73,5.57083333333333,1.15815230365242,46.7083333333333,-5.2,21
"2009-06-12",2009-06-12,17.63,88,6.4125,132.5,59.3333333333333,-0.56,29,17.71,80,3.00833333333333,1,53.1666666666667,-7.38,16,17.14,55,5.2875,148.375,42.4583333333333,-3.16,23,20.6592812120488,53.0049453883823,8.96130716129031,33.5569940758444,30.436621967056,-1.58940945845677,18.9082483353775,20.55,66,9.17916666666667,1.18679875865362,40.0833333333333,-2.19,24
"2009-06-13",2009-06-13,14.59,97,5.25,98.5833333333333,71.2083333333333,-2.39,45,15.34,80,2.48333333333333,1,59.2083333333333,-5.88,24,14.9,54,5.15416666666667,114.416666666667,43.6666666666667,-1.02,28,14.6932583507624,56.6046936776073,7.71887375851315,-30.0091768933212,52.5434967127611,0.803893069067361,45.6979624526707,17.89,62,9.85833333333333,1.21544521365481,45.625,3.75,33
"2009-06-14",2009-06-14,17.58,99,8.13333333333333,117.208333333333,64.0416666666667,0.39,33,17.48,80,5.1,1,56.4166666666667,-3.41,22,15.68,61,7.45833333333333,119.666666666667,46.5833333333333,0.67,30,14.2046687569815,69.3934445329193,7.51634806218178,79.7060573507474,48.6585032580419,0.897746422535195,36.9280839548614,16.86,78,7.33333333333333,1.244091668656,52.1666666666667,-2.47,33
"2009-06-15",2009-06-15,17.02,74,9.93333333333333,114.416666666667,50.2916666666667,1.36,25,16.22,79,7.57083333333333,1,48.75,-0.66,16,13.98,61,8.2125,118.458333333333,43.3333333333333,2.52,26,18.3580801630851,61.4424983205401,9.83233805449694,1.00642551166781,38.6498756006774,2.15053646193349,19.9059951663719,18.28,68,9.77083333333333,1.2727381236572,43.25,2.42,22
"2009-06-16",2009-06-16,17.12,80,7.16666666666667,115.291666666667,56.6666666666667,0,32,16.58,76,4.59583333333333,1,52.75,-3.11,20,15.37,56,6.12916666666667,138.916666666667,42.5,-0.84,27,20.3319697166618,64.6755092395553,8.81689235908947,-44.5891920822782,44.6815101608322,-0.594641479435013,30.5548845267002,18.51,58,8.44166666666667,1.30138457865839,38.5416666666667,-1.14,24
"2009-06-17",2009-06-17,18.59,90,6.97916666666667,119.666666666667,62.875,-1.78,31,17.3,79,4.8125,1,54.0833333333333,-4.43,22,16.76,61,7.85833333333333,128.5,44.8333333333333,0.75,29,21.3923624581809,58.7757545126852,8.02945178032853,21.689311816233,44.7581824137214,1.3911673270725,27.5587839818268,20.68,61,9.4875,1.33003103365958,41.25,-0.3,24
"2009-06-18",2009-06-18,19.26,87,9.62083333333333,124.041666666667,61.7916666666667,2.62,37,19.77,77,7.47083333333333,1,54.2916666666667,-1.81,25,19.82,59,9.9125,131.125,45.1666666666667,4.13,30,20.8599878844434,55.6755046425761,10.0900979663002,-30.3163352911817,42.818115104742,1.1754624668301,33.0432761300173,21.14,70,8.72083333333333,1.35867748866078,49.6666666666667,-1.5,33
"2009-06-19",2009-06-19,22.79,98,11.0375,122.875,66.3333333333333,1.49,30,23.69,82,9.74583333333333,1,51.6666666666667,-0.91,11,25,64,13.316,99.94,41.76,5.08,11,22.123008908959,66.3396325805344,10.5175324374122,19.9657931660681,43.341398149502,0.249948057673296,23.4831082857886,24.26,77,11.1166666666667,1.38732394366197,50.5,-0.25,22
